Dataset,oxfordpets
Handcrafted CLIP Accuracy,86.89016080675934
CoOp Accuracy,91.76887435268466
Improvement,4.878713545925322

Mean Training Accuracy,92.38315217391305
Variance Training Accuracy,2.415631235559757
Mean Training Loss,0.24015880709271067
Variance Training Loss,0.002450602332224949

Epoch,Train Loss,Train Accuracy
1,0.3494390398263931,88.94021739130434
2,0.2945832739138733,90.95108695652173
3,0.2602908531608789,91.875
4,0.2404960017165412,92.03804347826087
5,0.22972871533230596,92.44565217391305
6,0.21942149246840373,93.20652173913044
7,0.21418078919953626,92.96195652173913
8,0.20768465558471888,93.31521739130434
9,0.19479228897911052,93.94021739130434
10,0.190970960745345,94.15760869565217
