Epoch,Train Loss,Train Accuracy
1,0.3591663120881371,88.66847826086956
2,0.2973113329190275,91.1413043478261
3,0.2677390249527019,91.33152173913044
4,0.24855885816657025,92.2554347826087
5,0.2344469192235366,92.17391304347827
6,0.22127481763777526,93.04347826086956
7,0.2123063275023647,93.20652173913044
8,0.21048701347216317,93.26086956521739
9,0.1971516078904919,93.91304347826087
10,0.19203871261814368,93.69565217391305
11,0.18200920437989027,94.02173913043478
12,0.17820836736456208,94.375
13,0.17793105652798777,94.59239130434783
14,0.1716705056960168,94.64673913043478
15,0.16751826389328292,94.94565217391305
16,0.16626808724325637,95.0
17,0.16098445958417396,95.13586956521739
18,0.15559620138095773,95.05434782608695
19,0.1561739995751692,95.46195652173913
20,0.15463600304463634,95.43478260869566

Test Accuracy,92.01417279912783
Mean Training Accuracy,93.56793478260872
Variance Training Accuracy,3.050310603422543
Mean Training Loss,0.20557385375804227
Variance Training Loss,0.0028870676986773665
