Epoch,Train Loss,Train Accuracy
1,0.23152818996030064,91.09638380636795
2,0.16431955063569656,94.42443451952168
3,0.13976455544237443,95.37530615185132
4,0.1271564770695938,95.53378475723959
5,0.11975323326439352,95.9083705517937
6,0.10979791936649155,96.2685492004034
7,0.10434979100793187,96.42702780579167
8,0.0992453318466926,96.7583921625126
9,0.09533086747643517,96.85924218412333
10,0.09101011981106093,96.8736493300677

Test Accuracy,96.1405529953917
Mean Training Accuracy,95.55251404696729
Variance Training Accuracy,2.7472606963406867
Mean Training Loss,0.12822560358809712
Variance Training Loss,0.001639681488392611
