Epoch,Train Loss,Train Accuracy
1,1.427215558476746,65.7843137254902
2,1.2048633825033903,70.09803921568627
3,0.9378164086956531,74.80392156862744
4,0.7174271093681455,80.49019607843137
5,0.5656185648404062,84.01960784313725
6,0.4617233984172344,88.52941176470588
7,0.36676683579571545,91.07843137254902
8,0.31666964141186327,92.25490196078431
9,0.27759304479695857,94.50980392156863
10,0.23895512148737907,95.29411764705883
11,0.20260396192315966,96.76470588235294
12,0.18514476786367595,96.37254901960785
13,0.1659256760030985,96.96078431372548
14,0.14527811348671094,97.84313725490196
15,0.14233879116363823,98.52941176470588
16,0.13352513045538217,98.23529411764706
17,0.12211639323504642,99.11764705882354
18,0.11632422305410728,99.2156862745098
19,0.11175003566313535,99.2156862745098
20,0.10937651415588334,98.82352941176471
21,0.11900364345638081,98.72549019607843
22,0.09299121587537229,100.0
23,0.08534501283429563,99.80392156862744
24,0.0797498575411737,99.80392156862744
25,0.07327346366946585,99.90196078431373
26,0.06995593817555346,99.80392156862744
27,0.06398526011616923,100.0
28,0.07332093029981479,99.50980392156863
29,0.05948078099754639,99.80392156862744
30,0.05602579895639792,99.90196078431373

Test Accuracy,90.76272564644658
Mean Training Accuracy,93.83986928104576
Variance Training Accuracy,88.58402161856408
Mean Training Loss,0.29073881915731664
Variance Training Loss,0.1216154649164115
