Epoch,Train Loss,Train Accuracy
1,0.44252584600890127,85.32407407407408
2,0.28791398143326796,90.54166666666667
3,0.2528871876663632,91.62037037037037
4,0.23696086709146147,92.23148148148148
5,0.23097703725099564,92.37962962962963
6,0.221741102470292,92.72222222222223
7,0.21104453891515731,93.11111111111111
8,0.20526143949064943,93.15277777777777
9,0.2011564142919249,93.33796296296296
10,0.19924166114793884,93.61574074074075

Test Accuracy,92.61111111111111
Mean Training Accuracy,91.8037037037037
Variance Training Accuracy,5.413705418381344
Mean Training Loss,0.24897100757669519
Variance Training Loss,0.004831304792908929
